grid_row,grid_col,lon,lat,ndvi_2008,ndvi_2013,ndvi_2018,ndvi_2023,cluster,ndvi_change_2008_2023
0,22,-76.41781033979888,8.86874999920622,0.6656075716018677,0.6778707504272461,0.6639008522033691,0.6608597636222839,2,-0.00474780797958374
1,20,-76.49349230773402,8.827083332543282,0.7536182403564453,0.7628629207611084,0.7927189469337463,0.7772222757339478,0,0.02360403537750244
1,21,-76.45132622410704,8.827083332543282,0.7395219802856445,0.756102979183197,0.7553791999816895,0.7465057373046875,0,0.006983757019042969
1,22,-76.40916014048008,8.827083332543282,0.7518371939659119,0.7627140879631042,0.7574353814125061,0.7638602256774902,0,0.01202303171157837
2,19,-76.5270362993852,8.785416665880344,0.7147868871688843,0.7262805700302124,0.7347237467765808,0.7146942615509033,0,-9.262561798095703e-05
2,20,-76.48487496596042,8.785416665880344,0.7466818690299988,0.7554280161857605,0.7716112732887268,0.7634930610656738,0,0.01681119203567505
2,21,-76.44271363253563,8.785416665880344,0.7394819855690002,0.7649250626564026,0.7588430643081665,0.7675606608390808,0,0.028078675270080566
2,22,-76.40055229911084,8.785416665880344,0.7642760276794434,0.7910759449005127,0.7830431461334229,0.7915118932723999,0,0.027235865592956543
3,16,-76.64492643178286,8.743749999217407,0.6665502786636353,0.6549875736236572,0.6332513093948364,0.6283165812492371,2,-0.03823369741439819
3,17,-76.60276982519811,8.743749999217407,0.719501793384552,0.7479149103164673,0.7333805561065674,0.7385412454605103,0,0.019039452075958252
3,18,-76.56061321861334,8.743749999217407,0.7286441326141357,0.7541515231132507,0.7506756782531738,0.7326280474662781,0,0.003983914852142334
3,19,-76.51845661202859,8.743749999217407,0.7298383712768555,0.7544299960136414,0.7530294060707092,0.7312346696853638,0,0.0013962984085083008
3,20,-76.47630000544383,8.743749999217407,0.7240597605705261,0.7471964359283447,0.7459214925765991,0.761643648147583,0,0.037583887577056885
3,21,-76.43414339885909,8.743749999217407,0.7683696150779724,0.7922109961509705,0.7896749973297119,0.8046073913574219,0,0.03623777627944946
3,22,-76.39198679227435,8.743749999217407,0.7354284524917603,0.7549977898597717,0.740418016910553,0.7720022201538086,0,0.03657376766204834
4,16,-76.6363750152392,8.70208333255447,0.7326107621192932,0.751632034778595,0.7486782670021057,0.7292354702949524,0,-0.0033752918243408203
4,17,-76.59422311214519,8.70208333255447,0.7438679337501526,0.7769393920898438,0.7663602232933044,0.7591601610183716,0,0.015292227268218994
4,18,-76.55207120905118,8.70208333255447,0.7313281893730164,0.7897718548774719,0.8014714121818542,0.8061204552650452,0,0.07479226589202881
4,19,-76.50991930595718,8.70208333255447,0.7122606039047241,0.7557565569877625,0.7586130499839783,0.7755053043365479,0,0.06324470043182373
4,20,-76.46776740286319,8.70208333255447,0.733356237411499,0.7752233743667603,0.7655606269836426,0.7670449018478394,0,0.03368866443634033
4,21,-76.42561549976921,8.70208333255447,0.7160053849220276,0.7548863291740417,0.7322079539299011,0.765383780002594,0,0.049378395080566406
