year,band,total_pixels,valid_pixels,nan_pixels,valid_pct,nan_pct,out_low_count,out_high_count,min,p01,p05,p25,p50,p75,p95,p99,max,mean,std
2014,red,36203130,35653755,549375,98.48252071022588,1.5174792897741163,3591,30,-0.0952799990773201,0.015,0.019000000000000003,0.027000000000000003,0.037000000000000005,0.053000000000000005,0.079,0.117,1.1485174894332886,0.04242125297826087,0.02209003212419446
2014,nir,36203130,35653755,549375,98.48252071022588,1.5174792897741163,2,39,-0.004749999847263098,0.113,0.215,0.295,0.339,0.375,0.427,0.47100000000000003,1.19708251953125,0.33150843185839346,0.06749671990463692
2014,swir1,36203130,35653755,549375,98.48252071022588,1.5174792897741163,0,6,0.0025649999734014273,0.047,0.10300000000000001,0.14500000000000002,0.177,0.215,0.269,0.313,1.2793899774551392,0.18047423842976273,0.052847072675380836
2014,swir2,36203130,35653755,549375,98.48252071022588,1.5174792897741163,0,7,0.0022074999287724495,0.023,0.043,0.059,0.077,0.10300000000000001,0.14300000000000002,0.191,1.3847424983978271,0.08344193116667377,0.033729713806027226
2014,ndvi,36203130,35650163,552967,98.47259891617107,1.5274010838289396,0,0,-0.914513885974884,0.21399999999999997,0.562,0.726,0.802,0.8540000000000001,0.8820000000000001,0.8980000000000001,0.9999576210975647,0.769401313375406,0.1295930661900446
2015,red,36203130,35437986,765144,97.88652528110138,2.1134747188986145,6982,3144,-0.12217500060796738,0.013000000000000001,0.019000000000000003,0.027000000000000003,0.041,0.057,0.093,0.17300000000000001,1.241165041923523,0.04863766138539173,0.05010698344557539
2015,nir,36203130,35437986,765144,97.88652528110138,2.1134747188986145,0,3809,0.0019875001162290573,0.113,0.203,0.291,0.337,0.373,0.431,0.499,1.27218496799469,0.3301743491084825,0.07509045190025225
2015,swir1,36203130,35437986,765144,97.88652528110138,2.1134747188986145,0,0,0.0020975000225007534,0.049,0.099,0.14500000000000002,0.181,0.221,0.28700000000000003,0.351,0.9030799865722656,0.18527084679094025,0.06025052221614607
2015,swir2,36203130,35437986,765144,97.88652528110138,2.1134747188986145,0,1,0.001025000005029142,0.023,0.041,0.059,0.081,0.107,0.159,0.221,1.075202465057373,0.08792122279511219,0.040196196881132545
2015,ndvi,36203130,35431004,772126,97.86723965579772,2.132760344202283,0,0,-0.7012342810630798,0.1140000000000001,0.502,0.706,0.79,0.8460000000000001,0.8780000000000001,0.8940000000000001,0.9999644756317139,0.7512896714380773,0.1433927553545336
2017,red,36203130,35735191,467939,98.70746258679843,1.2925374132015657,3178,108,-0.08598499745130539,0.013000000000000001,0.019000000000000003,0.025,0.037000000000000005,0.053000000000000005,0.079,0.117,1.1617175340652466,0.04186876855976523,0.026052504028590988
2017,nir,36203130,35735191,467939,98.70746258679843,1.2925374132015657,216,261,-0.001614999957382679,0.097,0.211,0.297,0.341,0.377,0.427,0.47100000000000003,1.2021424770355225,0.33194087122736227,0.06941228327007766
2017,swir1,36203130,35735191,467939,98.70746258679843,1.2925374132015657,21,1,-0.0002674999996088445,0.035,0.099,0.14300000000000002,0.175,0.211,0.265,0.311,1.0520474910736084,0.1780411660598471,0.05248657780316814
2017,swir2,36203130,35735191,467939,98.70746258679843,1.2925374132015657,0,1,0.000667500018607825,0.019000000000000003,0.041,0.059,0.077,0.101,0.139,0.185,1.2666300535202026,0.08192228421339126,0.032737442107725626
2017,ndvi,36203130,35731797,471333,98.69808770678115,1.301912293218846,0,0,-0.9995713829994202,0.15400000000000003,0.5700000000000001,0.73,0.806,0.8580000000000001,0.8860000000000001,0.9020000000000001,0.9999070763587952,0.7721594009186528,0.13578106051011296
2018,red,36203130,35921844,281286,99.223034030483,0.7769659695170004,2514,112,-0.11378750205039978,0.013000000000000001,0.019000000000000003,0.027000000000000003,0.039,0.053000000000000005,0.081,0.117,1.142495036125183,0.04306433000880469,0.025181278196151683
2018,nir,36203130,35921844,281286,99.223034030483,0.7769659695170004,48,230,-0.005286249797791243,0.10300000000000001,0.211,0.291,0.335,0.371,0.421,0.463,1.187595009803772,0.32673231033271644,0.06739874480386344
2018,swir1,36203130,35921844,281286,99.223034030483,0.7769659695170004,0,0,0.0014649999793618917,0.041,0.099,0.14100000000000001,0.17300000000000001,0.20900000000000002,0.263,0.307,0.8963425159454346,0.17595227045269288,0.0522400573967363
