year_t,year_tp1,interval_years,total_pixels,valid_overlap_pixels,valid_overlap_pct,forest_pixels_t,forest_area_ha_t,loss_proxy_pixels,loss_proxy_area_ha,loss_proxy_pct_of_forest_t,gain_proxy_pixels,gain_proxy_area_ha,delta_ndvi_min,delta_ndvi_p05,delta_ndvi_p50,delta_ndvi_p95,delta_ndvi_max,delta_ndvi_mean,delta_ndvi_std
2014,2015,1,36203130,35110822,96.98283546201668,31370062,11293222.32,265347,95524.92,0.8458606170430903,35183,12665.88,-1.477583408355713,-0.11749999999999994,-0.007499999999999951,0.0674999999999999,1.2825771570205688,-0.01586175670344546,0.0825562305472901
2015,2017,2,36203130,35115348,96.99533714350113,29964949,10787381.639999999,106257,38252.52,0.354604307853152,319895,115162.2,-1.491085171699524,-0.08250000000000002,0.012500000000000178,0.13250000000000006,1.0583783388137817,0.019888595030952843,0.09646108868853513
2017,2018,1,36203130,35557932,98.21783917578398,31976116,11511401.76,73971,26629.559999999998,0.23133203544795747,63987,23035.32,-1.4740616083145142,-0.09749999999999992,-0.007499999999999951,0.07250000000000001,1.265817403793335,-0.008763066168250856,0.06709944322257658
2018,2020,2,36203130,35452974,97.92792501642813,31423796,11312566.559999999,85891,30920.76,0.2733310768692618,69291,24944.76,-1.2772749662399292,-0.11249999999999993,-0.007499999999999951,0.08250000000000002,1.2724850177764893,-0.007278081819680956,0.07260179147799513
2020,2021,1,36203130,35033941,96.77047537049974,29992605,10797337.799999999,148966,53627.759999999995,0.4966757639091369,70043,25215.48,-1.400974988937378,-0.08250000000000002,0.012500000000000178,0.11750000000000016,1.3423118591308594,0.011937656201758117,0.07923989313342612
2021,2023,2,36203130,35210431,97.25797465578252,31551472,11358529.92,168105,60517.799999999996,0.5327960609888502,138675,49923.0,-1.6272876262664795,-0.09749999999999992,-0.0024999999999999467,0.08749999999999991,1.5069326162338257,-0.002936518677916637,0.08801043368874911
