k,silhouette_score,davies_bouldin_index,inertia
2,0.4236944913864136,0.9271271103168202,141651.125
3,0.4521377384662628,0.718529678380094,103694.140625
4,0.38261502981185913,0.7873291187346874,77648.125
5,0.37303608655929565,0.787275035018028,60716.0
6,0.3608902096748352,0.7760084852846879,50672.0546875
7,0.37705016136169434,0.7505910732344454,42930.484375
8,0.3604860007762909,0.7544639973045599,36973.01953125
