threshold,tn,fp,fn,tp,precision,recall,f1
0.1,0,253599,0,84533,0.25,1.0,0.4
0.2,745,252854,71,84462,0.2503942890346144,0.9991600913252813,0.4004371232360394
0.3,7838,245761,1220,83313,0.2531740581145882,0.9855677664344102,0.40286068659379554
0.4,90485,163114,14546,69987,0.30024324219973314,0.8279251889794518,0.4406770056102306
0.5,184967,68632,38683,45850,0.4004996418650967,0.542391728674009,0.46076928874707934
0.6,227365,26234,58127,26406,0.5016337386018237,0.31237504879751105,0.38500287957542667
0.7,244896,8703,72365,12168,0.5830099180681328,0.14394378526729207,0.23088307844104589
0.8,252591,1008,81784,2749,0.7317008251264306,0.03251984432115269,0.06227205799071243
0.9,253457,142,83647,886,0.8618677042801557,0.010481113884518473,0.02071037037902783
